Error results for RHC,
---------------------------,
5046.176,1284.633
5046.176,1284.633
5045.398,1284.427
5045.398,1284.427
5045.015,1284.3
5045.015,1284.3
5044.965,1284.27
5044.965,1284.27
5044.965,1284.27
5044.964,1284.269
5044.964,1284.269
5044.964,1284.269
5044.964,1284.269
5044.964,1284.269
5043.744,1283.853
5043.744,1283.853
5044.207,1284.143
5246.221,1333.21
5043.744,1283.853
5043.744,1283.853
4701.255,1189.887
4701.765,1190.157
4504.492,1142.081
4505.359,1142.395
4504.492,1142.081
4504.351,1142.003
4504.366,1142.017
4494.268,1136.8
4494.268,1136.8
4495.017,1136.98
4494.127,1136.723
4494.127,1136.723
4494.127,1136.723
4494.127,1136.723
4493.972,1136.641
4493.972,1136.641
4493.972,1136.641
4485.443,1134.564
4485.443,1134.564
4483.341,1133.588
4483.341,1133.588
4474.629,1126.395
4103.424,1033.474
4103.424,1033.474
4103.424,1033.474
4103.424,1033.474
4103.427,1033.473
4103.424,1033.474
4103.424,1033.474
4104.177,1033.852
4103.424,1033.474
4103.17,1033.44
4103.17,1033.44
4103.17,1033.44
3861.891,970.819
3861.981,970.855
3861.857,970.804
3859.84,968.62
3859.823,968.615
3859.823,968.615
3859.823,968.615
3859.828,968.619
3859.823,968.615
3859.618,968.506
3859.618,968.506
3217.102,804.945
3015.978,756.3
3015.978,756.3
3015.798,756.231
3013.662,755.196
3013.663,755.19
3013.63,755.155
3013.63,755.155
3013.419,755.25
3013.419,755.25
3013.268,755.213
3013.268,755.213
3294.438,842.504
3013.268,755.213
3013.268,755.213
3013.268,755.213
3050.232,781.222
3014.1,755.637
3013.268,755.213
3013.247,755.209
3013.247,755.209
3013.247,755.209
3013.483,755.328
3013.247,755.209
3013.982,755.559
3013.247,755.209
3013.246,755.21
3191.534,798
3013.246,755.21
3013.246,755.21
3013.246,755.21
3013.246,755.21
3013.246,755.21
3013.246,755.21
3261.374,837.644
3013.246,755.21
3013.246,755.21
3213.084,817.958
2943.742,722.556
2943.742,722.556
2858.348,704.247
2858.348,704.247
2858.348,704.247
2858.348,704.247
2858.348,704.247
2858.348,704.247
2861.523,705.529
2858.348,704.247
2858.348,704.247
